Não-Terminal,&&,(,),*,+,,,-,.,/,:,:=,;,<,<=,<>,=,>,>=,FLOAT_LITERAL,INT_LITERAL,STRING_LITERAL,^,begin,bool,deref,do,else,end,enum,false,fi,float,id,if,in,int,new,not,null,od,procedure,program,ref,return,string,struct,then,true,var,while,||,}
TYPE,,,,,,,,,,,,,,,,,,,,,,,,bool,,,,,,,,float,id,,,int,,,,,,,ref ( TYPE ),,string,,,,,,,
RETURN_STMT,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,return ( EXP ),,,,,,,,
AND_OP3,&& NOT_OP4 AND_OP4',,,EXP_REL3,EXP_REL3,,EXP_REL3,,EXP_REL3,,,,EXP_REL3,EXP_REL3,EXP_REL3,EXP_REL3,EXP_REL3,EXP_REL3,,,,EXP_REL3,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
EXP_REL,,EXP_ARITH EXP_REL',,,,,,,,,,,,,,,,,EXP_ARITH EXP_REL',EXP_ARITH EXP_REL',EXP_ARITH EXP_REL',,,,EXP_ARITH EXP_REL',,,,,EXP_ARITH EXP_REL',,,EXP_ARITH EXP_REL',,,,EXP_ARITH EXP_REL',,EXP_ARITH EXP_REL',,,,EXP_ARITH EXP_REL',,,,,EXP_ARITH EXP_REL',,,,
WHILE_STMT,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,while EXP do STMT_LIST od,,
OR_OP',,,ε,,,ε,,,,,,ε,,,,,,,,,,,,,,ε,ε,ε,,,ε,,,,ε,,,,,ε,,,,,,,ε,,,,|| AND_OP OR_OP',
VAR_DECL',,,,,,,,,,: TYPE VAR_EXP_DECL,:= EXP,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
REC_PARAMFIELD_DECL',,,,,,,,,,,,; PARAMFIELD_DECL REC_PARAMFIELD_DECL',,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,ε
ELSE_STMT,,,,,,,,,,,,,,,,,,,,,,,,,,,else STMT_LIST,,,,ε,,,,,,,,,,,,,,,,,,,,,
STMT_DEREF',EXP3 . id VAR2_',,,EXP3 . id VAR2_',EXP3 . id VAR2_',,EXP3 . id VAR2_',,EXP3 . id VAR2_',,ε,,EXP3 . id VAR2_',EXP3 . id VAR2_',EXP3 . id VAR2_',EXP3 . id VAR2_',EXP3 . id VAR2_',EXP3 . id VAR2_',,,,EXP3 . id VAR2_',,,,,,,,,,,,,,,,,,,,,,,,,,,,,EXP3 . id VAR2_',
ENUM_DECL',,,,,,, id ENUM_DECL',,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,ε
CALL_STMT,ε,( CALL_ARGS ),ε,ε,ε,ε,ε,ε,ε,,,ε,ε,ε,ε,ε,ε,ε,,,,ε,,,,ε,ε,ε,,,ε,,,,ε,,,,,ε,,,,,,,ε,,,,ε,
